DATE;NOM;GENRE;HOMME;FEMME;AGE;AGE2;DOMICILE;ADRESSE;PERP;LIEU;MULTIPLE;BLESSÉS;ESPACE PUBLIC;LOCALISATION POST-MORTEM;CALCINÉS;CAUSE DU DÉCÈS;FUSILLADE;ATTACHÉ;TRACES DE TORTURE;MUTILATION;ENCOBIJADO/ENTEIPADO;MESSAGE;QUALIFICATION;ORIGINE DU DÉFUNT;COMMENTAIRE
22-Apr;0;0;0;0;0;;;;0;C. SIERRA SAN MARCOS, COL. CTS-CROC, COLINDANTE CON COL. COLINAS DEL SOL;1;0;1;3;0;0;0;0;0;0;0;0;0;;FOSSE COMMUNE, APPEL ANONYME AU 66, MORTS DEPUIS 8 MOIS
22-Apr;0;0;0;0;0;;;;0;C. SIERRA SAN MARCOS, COL. CTS-CROC, COLINDANTE CON COL. COLINAS DEL SOL;1;0;1;3;0;0;0;0;0;0;0;0;0;;FOSSE COMMUNE, APPEL ANONYME AU 66, MORTS DEPUIS 8 MOIS
22-Apr;0;0;0;0;0;;;;0;C. SIERRA SAN MARCOS, COL. CTS-CROC, COLINDANTE CON COL. COLINAS DEL SOL;1;0;1;3;0;0;0;0;0;0;0;0;0;;FOSSE COMMUNE, APPEL ANONYME AU 66, MORTS DEPUIS 8 MOIS
24-Apr;1;1;1;0;1;28;;;0;C. CERRADA MONTECARLO, FRAC. MANANTIAL;0;0;1;0;0;1;1;0;0;0;0;0;2;;ACCOMPAGNÉ DE SON ÉPOUSE
25-Apr;1;1;1;0;1;40;1;Frac. El Greco;1;CIMETIERRE PANTEÓN NACIONAL;0;0;0;3;0;3;0;0;0;0;0;0;0;;"ENLEVÉ CONTRE RANÇON (30.000 DL); PROPRIÉTAIRE DE FRUTAS Y VERDURAS LA BAJADITA; ENTERRÉ CLANDESTINEMENT DANS PANTEÓN NACIONAL"
26-Apr;1;1;1;0;0;;;;0;BARRANCO POR C. MARIANO MONTEVERDE, ENTRE COL.LOS  ENCINOS Y FRAC. LOS ÁNGELES;0;0;1;1;0;3;0;0;0;0;0;0;0;;
27-Apr;1;1;1;0;1;21;;;0;C. PRIVADA LOS CERROS, CONJUNTO HABITACIONAL 5 DE MAYO;0;0;1;0;0;1;0;0;0;0;0;0;0;;
02-May;1;1;0;1;1;35;1;Frac. Las Hacienda;0;C. HACIENDA LA NORIA, FRAC. LAS HACIENDAS;0;1;2;0;0;1;0;0;0;0;0;0;2;;TUÉE DANS SON DOMICILE, ÉPOUX BLESSÉ
06-May;1;1;1;0;1;37;1;Obregon, Sonora;0;PERI. COLOSIO, COL. KENNEDY;0;1;1;0;0;1;1;0;0;0;0;0;0;ORIGINAIRE DU D.F., RÉSID. CD. OBREGON SONORA;DEVANT OXXO
16-May;0;0;0;0;0;;;;0;CAMINO A LA UTN, POR CARRETERA INTERNACIONAL;1;0;1;1;1;0;0;0;0;0;0;0;0;;BRULÉS, MESSAGE D'ALERTE ANONYME
